case_number,case_link,date_of_receipt,judge,source_page
2-595/2026 ~ М-480/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855770&case_uid=2ac51547-28c7-470e-80a7-0d2a962c4b27&delo_id=1540005,29.05.2026,Литюк Василий Васильевич,1
2-594/2026 ~ М-479/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855762&case_uid=dc94d4be-8cda-4792-88ce-c4087b1c6fb9&delo_id=1540005,29.05.2026,Литюк Василий Васильевич,1
2-593/2026 ~ М-478/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855754&case_uid=60e450cf-542f-49d3-82e7-c79e8712c4f9&delo_id=1540005,29.05.2026,Литюк Василий Васильевич,1
2-592/2026 ~ М-477/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855741&case_uid=852bf062-6fea-4822-84c3-611e517fef6c&delo_id=1540005,29.05.2026,Литюк Василий Васильевич,1
2-591/2026 ~ М-476/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855728&case_uid=508f787c-048d-41dd-a7e0-3662f5968f3e&delo_id=1540005,29.05.2026,Литюк Василий Васильевич,1
2-590/2026 ~ М-475/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855695&case_uid=5c42c95f-b5c8-46b8-8d98-8947bad016f1&delo_id=1540005,29.05.2026,Литюк Василий Васильевич,1
2-589/2026 ~ М-474/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855405&case_uid=db39f0ec-2480-4359-9c4d-56b901e3f0c9&delo_id=1540005,29.05.2026,Литюк Василий Васильевич,1
2-588/2026 ~ М-473/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855382&case_uid=1e59138b-6c06-4542-aa1f-70ed0bfcd4b5&delo_id=1540005,29.05.2026,Литюк Василий Васильевич,1
2-520/2026 ~ М-409/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30852259&case_uid=f04ac93f-4ff9-4c8f-a2d0-49cd8ccff790&delo_id=1540005,14.05.2026,Литюк Василий Васильевич,1
2-519/2026 ~ М-408/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30855050&case_uid=866302c6-dc9e-41ee-a48a-d045a10d382b&delo_id=1540005,14.05.2026,Литюк Василий Васильевич,1
2-518/2026 ~ М-407/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30854780&case_uid=191fd4ec-7ca4-44d4-ba29-8826473eae62&delo_id=1540005,14.05.2026,Литюк Василий Васильевич,1
2-291/2026 ~ М-145/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851772&case_uid=f5eac657-5bd7-45c7-ae07-7eacdff2f75f&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-290/2026 ~ М-144/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851309&case_uid=c84a1f8d-bf06-4392-9083-e09aec76eb89&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-289/2026 ~ М-143/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851284&case_uid=0bbb15bc-6970-41b0-9e47-8cb1ef7e6393&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-288/2026 ~ М-142/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851258&case_uid=ae01396f-a4b6-4415-9f5e-fe229dd031b0&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-287/2026 ~ М-141/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851245&case_uid=add1166e-92f9-4e34-9f31-91a97f2e44cf&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-286/2026 ~ М-140/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851220&case_uid=c7775e97-a211-49e5-8742-83122c14722b&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-285/2026 ~ М-139/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851196&case_uid=97deb5cb-0381-4b1b-9127-e27191f673bd&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-284/2026 ~ М-138/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851102&case_uid=5495b4d5-b2f0-4b9a-861d-742070cdb171&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-283/2026 ~ М-137/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30832885&case_uid=727d0ba0-1b2c-4692-9855-32676ee0c6b9&delo_id=1540005,20.02.2026,Никифоров Максим Юрьевич,1
2-231/2026 ~ М-89/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851647&case_uid=6406e3ec-49c3-4c0c-aa71-ca17390174d8&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,1
2-232/2026 ~ М-88/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851557&case_uid=9a82833c-7413-440f-997c-53d5fac6e2fe&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,1
2-233/2026 ~ М-87/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851321&case_uid=077dfbea-a81d-45d0-a297-8f65958c880c&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,1
2-234/2026 ~ М-86/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851296&case_uid=c658cf82-0205-45b3-b849-d17188a428e2&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,1
2-235/2026 ~ М-85/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30850862&case_uid=8fe3188e-bc67-402b-ab2e-745485f308ad&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,1
2-236/2026 ~ М-84/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30850829&case_uid=8da6806a-c1c3-4ed3-8605-67293cbb1799&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,2
