case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
М-3856/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30883686&case_uid=205a4c1a-1f4d-4ba0-8bcd-d1e6ad9535cf&delo_id=1540005,26.06.2026,Джус Юлия Сергеевна,,,,,1
М-3749/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30569675&case_uid=76da5df8-3952-487c-8b2c-cd9fca6e5bd3&delo_id=1540005,24.06.2026,Кирьязиев Владимир Алексеевич,,,,,1
2-2957/2026 ~ М-2652/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27035849&case_uid=92e21e3d-7336-4738-b96b-29f582ad455e&delo_id=1540005,07.05.2026,Коренева Виктория Анатольевна,,,,,1
2-2924/2026 ~ М-2639/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27034771&case_uid=d690a2ba-5134-4877-a6d3-ca410f63b2db&delo_id=1540005,07.05.2026,Клавдеева Ольга Максимовна,04.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",07.07.2026,,1
2-2211/2026 ~ М-1839/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=24464448&case_uid=35451f91-ad06-4d8f-a09f-f8cc18620fe7&delo_id=1540005,02.04.2026,Обухова Ирина Геннадьевна,18.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.07.2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=31171798&delo_id=1540005&new=0&text_number=1,1
2-2149/2026 ~ М-1797/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=24383624&case_uid=c2ea4918-c4b2-4717-846e-4485a482d6bb&delo_id=1540005,02.04.2026,Клавдеева Ольга Максимовна,07.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.06.2026,,1
2-2148/2026 ~ М-1796/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=24383565&case_uid=4defd2e2-ba61-45c6-8a76-8bfab5c18570&delo_id=1540005,02.04.2026,Клавдеева Ольга Максимовна,07.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.06.2026,,1
2-2020/2026 ~ М-1795/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=24383535&case_uid=448761df-fce0-4fab-aa58-c5aafc2c6216&delo_id=1540005,02.04.2026,Мушаева Гиляна Николаевна,21.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
9-640/2026 ~ М-1547/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23926081&case_uid=5194be2f-8947-4c9b-a1de-b7e7bac4a4bb&delo_id=1540005,26.03.2026,Обухова Ирина Геннадьевна,30.03.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,,1
2-1582/2026 ~ М-1223/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23323622&case_uid=b983d7d1-3329-4900-9d33-1c110d8adf96&delo_id=1540005,18.03.2026,Джус Юлия Сергеевна,30.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29700289&delo_id=1540005&new=0&text_number=1,1
2-1413/2026 ~ М-1018/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22725062&case_uid=2406b33c-005a-40ac-91e5-6ad3a6b435fb&delo_id=1540005,06.03.2026,Кирьязиев Владимир Алексеевич,02.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-1412/2026 ~ М-1017/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22725057&case_uid=75e36165-9336-43c8-908d-babde98a1084&delo_id=1540005,06.03.2026,Кирьязиев Владимир Алексеевич,02.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-1414/2026 ~ М-1016/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22725052&case_uid=f3e44fcc-0a1d-4cf2-94a3-2aa5c67626ca&delo_id=1540005,06.03.2026,Кирьязиев Владимир Алексеевич,02.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-1306/2026 ~ М-999/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706664&case_uid=fca66a40-ee9b-4653-b897-cd34ff54c57b&delo_id=1540005,05.03.2026,Радюк Елена Валентиновна,22.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-1316/2026 ~ М-998/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706608&case_uid=3689e4e8-e24c-4028-a8b3-f950727b4bd5&delo_id=1540005,05.03.2026,Обухова Ирина Геннадьевна,27.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=30032019&delo_id=1540005&new=0&text_number=1,1
2-1291/2026 ~ М-997/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706678&case_uid=90ddcc0c-9978-4f48-a378-e60098f081a4&delo_id=1540005,05.03.2026,Титова Ольга Александровна,27.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",05.06.2026,,1
2-1287/2026 ~ М-996/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706673&case_uid=c479f208-f004-431c-9fc8-c5031daa0cbd&delo_id=1540005,05.03.2026,Титова Ольга Александровна,27.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",05.06.2026,,1
2-1260/2026 ~ М-995/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706659&case_uid=6c54d561-59de-4558-aa29-e2a8893ff8e4&delo_id=1540005,05.03.2026,Сидюк Анна Анатольевна,21.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.05.2026,,1
2-1433/2026 ~ М-982/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22646847&case_uid=7f7ed1d6-26a9-4e41-80ce-28f73c37c640&delo_id=1540005,05.03.2026,Кирьязиев Владимир Алексеевич,25.05.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,,1
2-1307/2026 ~ М-1003/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706701&case_uid=c5f071d6-11fc-4a84-80f0-eff7824fb89f&delo_id=1540005,05.03.2026,Радюк Елена Валентиновна,22.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-1263/2026 ~ М-1002/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706696&case_uid=2cb51f60-ff29-4142-8736-0cbe6a4c66d4&delo_id=1540005,05.03.2026,Сидюк Анна Анатольевна,21.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",26.05.2026,,1
2-1314/2026 ~ М-1001/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706692&case_uid=5e1cb93b-7662-4df6-b4aa-aa21b41e8c56&delo_id=1540005,05.03.2026,Обухова Ирина Геннадьевна,18.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.07.2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=31171799&delo_id=1540005&new=0&text_number=1,1
2-1292/2026 ~ М-1000/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22706668&case_uid=bf506647-69fd-4e07-8e11-ba3946615865&delo_id=1540005,05.03.2026,Титова Ольга Александровна,27.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",05.06.2026,,1
2-1183/2026 ~ М-750/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22071396&case_uid=c13e538c-4666-4172-9627-c002a88cbf56&delo_id=1540005,25.02.2026,Джус Юлия Сергеевна,09.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.05.2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29927245&delo_id=1540005&new=0&text_number=1,1
2-1135/2026 ~ М-579/2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21526083&case_uid=2b9a9237-f689-4fdb-aef9-32685100ef47&delo_id=1540005,16.02.2026,Коренева Виктория Анатольевна,08.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
