case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-2015/2026 ~ М-2115/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28522775&case_uid=7b977141-a455-4f17-9ad7-848797f49e0b&delo_id=1540005,27.05.2026,Казминова Наталья Владимировна,,,,,1
2-2031/2026 ~ М-2114/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28522765&case_uid=7a905853-e229-457a-a199-ca4af422c0ba&delo_id=1540005,27.05.2026,Глебова Ирина Александровна,,,,,1
2-2032/2026 ~ М-2113/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28522761&case_uid=c1b408f9-70ce-413e-8037-aa6dd6afd845&delo_id=1540005,27.05.2026,Глебова Ирина Александровна,,,,,1
2-2014/2026 ~ М-2112/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28522757&case_uid=cef927e3-3c62-46a7-b218-ae073a442c63&delo_id=1540005,27.05.2026,Казминова Наталья Владимировна,,,,,1
2-2033/2026 ~ М-2109/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28522741&case_uid=e9f90fff-a13a-4944-8cdb-90d815d3afa3&delo_id=1540005,27.05.2026,Глебова Ирина Александровна,,,,,1
2-1538/2026 ~ М-1530/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=26141226&case_uid=b0a39fc1-d60e-49c7-829b-7139da66e6f0&delo_id=1540005,23.04.2026,Бекешева Айнагуль Самигулловна,26.05.2026,Производство по делу ПРЕКРАЩЕНО,18.06.2026,,1
9-215/2026 ~ М-1529/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=26141220&case_uid=6cac1f4d-5047-4e30-a97f-c8da215abc9c&delo_id=1540005,23.04.2026,Ментий Марина Владимировна,27.04.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-228/2026 ~ М-1528/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25975304&case_uid=87c36af3-81b3-4f01-b3ea-f2b36a61b7db&delo_id=1540005,23.04.2026,Полюшкина Наталия Дмитриевна,27.04.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-218/2026 ~ М-1527/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25975284&case_uid=cd87a012-0225-425f-9518-9515aea2e222&delo_id=1540005,23.04.2026,Буга Дарья Вадимовна,28.04.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
2-1537/2026 ~ М-1526/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25975271&case_uid=e209c7a7-4853-41b9-adb2-e22bda4e64db&delo_id=1540005,23.04.2026,Бекешева Айнагуль Самигулловна,26.05.2026,Производство по делу ПРЕКРАЩЕНО,18.06.2026,,1
2-1520/2026 ~ М-1519/2026,https://enak--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25893407&case_uid=c13dbdf0-9423-4779-8be9-12ad85930e3a&delo_id=1540005,22.04.2026,Бекешева Айнагуль Самигулловна,26.05.2026,Производство по делу ПРЕКРАЩЕНО,18.06.2026,,1
