case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
М-6535/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30970858&case_uid=61692f49-fb1b-497d-98c8-8dc439595eeb&delo_id=1540005,29.06.2026,Родина Неля Владимировна,,,,,1
М-6534/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30970853&case_uid=3cde0391-f75d-4789-bc43-c36b60d506cf&delo_id=1540005,29.06.2026,Вострикова Оксана Михайловна,,,,,1
М-6532/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30970828&case_uid=09d30e5c-ffa5-4625-b2c7-3dc10d60b8ac&delo_id=1540005,29.06.2026,Симонова Елена Анатольевна,,,,,1
2-6045/2026 ~ М-6404/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30635203&case_uid=5cc4360f-25ea-4386-b1b9-c39f425dc5c9&delo_id=1540005,25.06.2026,Родина Неля Владимировна,,,,,1
М-6403/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30635199&case_uid=377affb4-52d8-4044-b385-834a9a6ccf9c&delo_id=1540005,25.06.2026,Митьков Михаил Вячеславович,,,,,1
2-5984/2026 ~ М-6402/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30634985&case_uid=3c2ebd60-e274-482e-afa0-d17e640c331e&delo_id=1540005,25.06.2026,Аникеева Диана Арзуниковна,,,,,1
2-5699/2026 ~ М-5866/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29851158&case_uid=70e60194-02d2-4c63-8274-c3b42dd0368d&delo_id=1540005,15.06.2026,Вострикова Оксана Михайловна,,,,,1
2-4496/2026 ~ М-4984/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27967737&case_uid=26e07e59-782c-44f1-b038-b0eb62f132ba&delo_id=1540005,19.05.2026,Родина Неля Владимировна,,,,,1
2-4285/2026 ~ М-4558/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27422100&case_uid=6b2244a1-f408-4cf7-8da8-796767049b9e&delo_id=1540005,12.05.2026,Симонова Елена Анатольевна,,,,,1
2-4299/2026 ~ М-4557/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27422084&case_uid=b43b69d4-9ff5-4574-ab3b-0bb49e643872&delo_id=1540005,12.05.2026,Родина Неля Владимировна,,,,,1
2-3565/2026 ~ М-3868/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25715921&case_uid=3e9c4422-49c0-4232-a095-83ecc387470b&delo_id=1540005,20.04.2026,Горохова Алена Анатольевна,30.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-2571/2026 ~ М-2578/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23479631&case_uid=06ef25c4-e343-42b7-b6fa-c33bfb2af710&delo_id=1540005,20.03.2026,Родина Неля Владимировна,19.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.06.2026,,1
2-2710/2026 ~ М-2577/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23479626&case_uid=c036b462-3e73-4804-99c6-d9bc5e35a924&delo_id=1540005,20.03.2026,Митьков Михаил Вячеславович,11.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-2640/2026 ~ М-2576/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23479615&case_uid=a7517570-058c-4e77-ae5e-f9ccd3828722&delo_id=1540005,20.03.2026,Егорова Ольга Васильевна,11.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-2675/2026 ~ М-2389/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23246620&case_uid=d47b3f5d-5f0b-424d-9dca-f95d69fe918e&delo_id=1540005,17.03.2026,Митьков Михаил Вячеславович,11.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-2471/2026 ~ М-2333/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23163986&case_uid=d4639fc7-e02c-4b63-9475-2801ee180db5&delo_id=1540005,16.03.2026,Вострикова Оксана Михайловна,17.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.07.2026,,1
2-1864/2026 ~ М-1801/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22155091&case_uid=546e34ca-095e-4aa3-967f-13080220b249&delo_id=1540005,26.02.2026,Егорова Ольга Васильевна,11.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-2012/2026 ~ М-1798/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22155079&case_uid=84f65526-da30-403c-a3f7-2dc1c64a95f9&delo_id=1540005,26.02.2026,Родина Неля Владимировна,08.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-1919/2026 ~ М-1797/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22155075&case_uid=479ad7f1-107d-4f18-9ef1-b771643fc62b&delo_id=1540005,26.02.2026,Вострикова Оксана Михайловна,26.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",27.06.2026,,1
2-2011/2026 ~ М-1796/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22155071&case_uid=cfd5e0f0-21d1-4d02-a4bf-59a493d9ecae&delo_id=1540005,26.02.2026,Родина Неля Владимировна,08.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-1588/2026 ~ М-1561/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21437315&case_uid=14b61e14-9543-4a94-91a4-fadf1e924665&delo_id=1540005,13.02.2026,Симонова Елена Анатольевна,13.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-1587/2026 ~ М-1560/2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21437240&case_uid=02c739a0-427e-4fc4-a64f-faa8504048ae&delo_id=1540005,13.02.2026,Симонова Елена Анатольевна,13.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
