case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-715/2026,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22828774&case_uid=906d00e8-0b6a-45fa-9587-4759909409b8&delo_id=1540005,10.03.2026,Маркова Елена Владимировна,18.03.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",09.04.2026,,1
2-2896/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=16707777&case_uid=f41e0cd1-832f-4080-bccf-95ad227afca1&delo_id=1540005,27.11.2025,Маркова Елена Владимировна,09.12.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",12.01.2026,,1
2-2837/2025 ~ М-2588/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=16368850&case_uid=6419d9c0-dd19-4622-aaaa-08b3d44b77fa&delo_id=1540005,20.11.2025,Логвинов Олег Валентинович,11.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20459999&delo_id=1540005&new=0&text_number=1,1
2-2831/2025 ~ М-2587/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=16368845&case_uid=9090e0c7-bccd-49b2-955f-e976a6d86cdc&delo_id=1540005,20.11.2025,Степанова Екатерина Васильевна,19.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18171747&delo_id=1540005&new=0&text_number=1,1
2-2830/2025 ~ М-2586/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=16368840&case_uid=3b69aea7-a135-4b77-a421-edeb1b51508d&delo_id=1540005,20.11.2025,Степанова Екатерина Васильевна,19.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18171748&delo_id=1540005&new=0&text_number=1,1
2-2879/2025 ~ М-2585/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=16368835&case_uid=9dbaf22a-f087-4028-9ce4-da309b9e38c8&delo_id=1540005,20.11.2025,Головченко Юлия Николаевна,19.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-23/2026 (2-2796/2025;) ~ М-2584/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=16368830&case_uid=e117c57f-41a5-4a0d-84d8-b432d5a4d123&delo_id=1540005,20.11.2025,Маркова Елена Владимировна,20.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.02.2026,,1
2-2813/2025 ~ М-2475/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15731702&case_uid=d65b97a5-a7a4-4982-8f81-08167ede934f&delo_id=1540005,07.11.2025,Мартынов Александр Анатольевич,19.12.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",27.01.2026,,1
2-2841/2025 ~ М-2474/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15731697&case_uid=5223ecf6-b91b-405e-86c0-2a15863b13f8&delo_id=1540005,07.11.2025,Логвинов Олег Валентинович,10.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20460009&delo_id=1540005&new=0&text_number=1,1
2-13/2026 (2-2734/2025;) ~ М-2473/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15731692&case_uid=8b2548b1-59be-4f5d-9241-9fb7bb3784ed&delo_id=1540005,07.11.2025,Маркова Елена Владимировна,16.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.02.2026,,1
2-2679/2025 ~ М-2238/2025,https://mar-ilich--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=14388744&case_uid=9336b030-3ec7-40e4-8ca7-42b7bc70dba8&delo_id=1540005,13.10.2025,Головченко Юлия Николаевна,12.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
