case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
М-5084/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30658124&case_uid=82138b16-9c63-486d-88f5-ed57b5154a57&delo_id=1540005,25.06.2026,Рябко Юлия Викторовна,,,,,1
2-4624/2026 ~ М-4308/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29242023&case_uid=2684d916-e151-4783-8ef3-aba6fe6c5cb4&delo_id=1540005,04.06.2026,Вакуленко Елена Анатольевна,,,,,1
2-4362/2026 ~ М-4268/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29163321&case_uid=9983e951-ce6b-46ef-a7c3-5117b234e17c&delo_id=1540005,03.06.2026,Рябко Юлия Викторовна,,,,,1
2-4337/2026 ~ М-4265/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29163309&case_uid=b984f8b6-a7af-4c22-9d83-b827e6dbb4eb&delo_id=1540005,03.06.2026,Сербина Екатерина Дмитриевна,,,,,1
2-4220/2026 ~ М-4150/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28917782&case_uid=99fafc14-6aa6-4402-9df7-0d739206262e&delo_id=1540005,01.06.2026,Кучерук Вера Сергеевна,,,,,1
2-3872/2026 ~ М-3721/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28080928&case_uid=a27e9772-dde8-410f-9b8c-c47db04ad094&delo_id=1540005,20.05.2026,Реутова Янина Владимировна,,,,,1
2-3955/2026 ~ М-3661/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27986067&case_uid=17a66a8d-ae1d-46b6-95d8-c6cc02b73e0d&delo_id=1540005,19.05.2026,Пащенко Анна Дмитриевна,,,,,1
2-3871/2026 ~ М-3657/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27986040&case_uid=f00b142f-2b36-4a4e-9f14-d102ed12fe31&delo_id=1540005,19.05.2026,Сербина Екатерина Дмитриевна,19.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=30566221&delo_id=1540005&new=0&text_number=1,1
2-3771/2026 ~ М-3569/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27729231&case_uid=cff72c11-1b59-47c1-94cf-e4eaecbc579f&delo_id=1540005,15.05.2026,Реутова Янина Владимировна,,,,,1
2-3853/2026 ~ М-3568/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27729218&case_uid=86d35a1e-0fe9-44e2-b399-bec127fee9f6&delo_id=1540005,15.05.2026,Фроленко Анастасия Евгеньевна,09.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-3772/2026 ~ М-3567/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27729213&case_uid=02bc9666-2b53-4b1e-b0a6-1278e7f5db32&delo_id=1540005,15.05.2026,Реутова Янина Владимировна,,,,,1
2-3658/2026 ~ М-3425/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27306089&case_uid=ec800cfb-3035-477b-aa12-7caaf8ee1bb7&delo_id=1540005,08.05.2026,Сербина Екатерина Дмитриевна,09.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29979928&delo_id=1540005&new=0&text_number=1,1
2-2676/2026 ~ М-2305/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=24342448&case_uid=a1af37cf-90a1-45da-b64f-278cbc6f9640&delo_id=1540005,02.04.2026,Вакуленко Елена Анатольевна,19.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-2632/2026 ~ М-2260/2026,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=24332886&case_uid=baf5fa81-43b3-4590-be59-035d2938ea5c&delo_id=1540005,01.04.2026,Рябко Юлия Викторовна,19.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://kir--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29477150&delo_id=1540005&new=0&text_number=1,1
