case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
9-59/2026 ~ М-309/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881951&case_uid=a39fc9d4-6936-4217-9671-9ec37ec7c7dd&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-48/2026 ~ М-308/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881946&case_uid=49169428-cb3d-4c9e-8a63-7ff307e7f2d5&delo_id=1540005,26.03.2026,Сквира Алёна Николаевна,30.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-60/2026 ~ М-307/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881941&case_uid=87e95a59-c66f-45a0-bde1-1ed5a38b642a&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-47/2026 ~ М-306/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881936&case_uid=d5263b2c-22a6-4490-a4ea-f906eecd2f93&delo_id=1540005,26.03.2026,Сквира Алёна Николаевна,30.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-46/2026 ~ М-305/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881931&case_uid=7ae739e0-97b3-4f20-8554-03b547eab2ed&delo_id=1540005,26.03.2026,Сквира Алёна Николаевна,30.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-61/2026 ~ М-304/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881926&case_uid=ec97413b-90ab-4ce8-a49a-5bfadd61b1f5&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-45/2026 ~ М-303/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881921&case_uid=d36e5fea-ea75-481e-b25a-b3feed0acbe2&delo_id=1540005,26.03.2026,Сквира Алёна Николаевна,30.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-63/2026 ~ М-302/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881916&case_uid=932d38ed-237f-4299-8b3b-8a1cfc5eb2a2&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-62/2026 ~ М-301/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881901&case_uid=732f0451-26e3-4635-b7eb-c68e9e19a00e&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-65/2026 ~ М-300/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881885&case_uid=4497602a-a551-4fcc-8b37-0e2b8c2a0af4&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-66/2026 ~ М-299/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881880&case_uid=92ae6520-c3cc-4f55-9352-a1983d7072e1&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-44/2026 ~ М-298/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881846&case_uid=28544dc6-d3e3-4379-b6c7-8e732059180c&delo_id=1540005,26.03.2026,Сквира Алёна Николаевна,30.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-67/2026 ~ М-297/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881689&case_uid=53ecdf88-4148-4170-b16e-845d0ef000f3&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-43/2026 ~ М-296/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881437&case_uid=8b1547be-d2dd-4bdb-9fc1-5650799c0d49&delo_id=1540005,26.03.2026,Сквира Алёна Николаевна,30.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-42/2026 ~ М-295/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881416&case_uid=9cac8fea-e797-4bc8-82b6-4e3b48607f65&delo_id=1540005,26.03.2026,Сквира Алёна Николаевна,30.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-64/2026 ~ М-294/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23881411&case_uid=88e1f787-7b82-4d6e-b8b2-6d3a4bc3b3c1&delo_id=1540005,26.03.2026,Попека Александр Владимирович,01.04.2026,ОТКАЗАНО в принятии заявления,23.04.2026,,1
9-56/2026 ~ М-284/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23704150&case_uid=dd18c22a-be0c-4e5b-9613-45d8ff28e67a&delo_id=1540005,24.03.2026,Попека Александр Владимирович,30.03.2026,ОТКАЗАНО в принятии заявления,21.04.2026,,1
9-55/2026 ~ М-283/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23704268&case_uid=866de43f-ea38-4710-8754-e11b48a117f3&delo_id=1540005,24.03.2026,Попека Александр Владимирович,30.03.2026,ОТКАЗАНО в принятии заявления,21.04.2026,,1
9-54/2026 ~ М-282/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23704263&case_uid=cd927804-2900-46ad-85e6-49669798d26c&delo_id=1540005,24.03.2026,Попека Александр Владимирович,30.03.2026,ОТКАЗАНО в принятии заявления,21.04.2026,,1
9-41/2026 ~ М-281/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23704228&case_uid=b541fdd2-0d5f-4a2b-9842-971d842a135f&delo_id=1540005,24.03.2026,Сквира Алёна Николаевна,27.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-40/2026 ~ М-280/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23704258&case_uid=9ce0dc1f-d4a5-4c3e-917f-81b07c513d2a&delo_id=1540005,24.03.2026,Сквира Алёна Николаевна,27.03.2026,ОТКАЗАНО в принятии заявления,,,1
9-53/2026 ~ М-279/2026,https://nva--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23704253&case_uid=058d57b8-543b-4d59-920e-d32165921588&delo_id=1540005,24.03.2026,Попека Александр Владимирович,30.03.2026,ОТКАЗАНО в принятии заявления,21.04.2026,,1
