case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-498/2025 ~ М-373/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=569177&case_uid=b3b014f1-1fe2-4bc1-9d14-6015a7d600e2&delo_id=1540005,24.06.2025,Абдуллина Мадина Зиннуровна,27.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.09.2025,,1
2-497/2025 ~ М-372/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=569173&case_uid=6087975f-3614-4d33-8886-9e683bedcc51&delo_id=1540005,24.06.2025,Абдуллина Мадина Зиннуровна,27.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.09.2025,,1
2-479/2025 ~ М-354/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=568979&case_uid=cc2a9b0e-5ecb-4ffe-bfd2-e6a10e275395&delo_id=1540005,24.06.2025,Алексеева Наталья Анатольевна,11.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.09.2025,,1
2-474/2025 ~ М-349/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=567910&case_uid=8bad1941-97a6-493c-9bc7-5f967d3ca9d8&delo_id=1540005,24.06.2025,Горковенко Юрий Александрович,28.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.08.2025,,1
2-473/2025 ~ М-348/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=567896&case_uid=97784a88-fd30-423f-a6c0-cfbcf6a65de4&delo_id=1540005,24.06.2025,Горковенко Юрий Александрович,23.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",26.08.2025,,1
2-472/2025 ~ М-347/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=567882&case_uid=113bc831-b235-4e58-b2d6-722a2292800f&delo_id=1540005,24.06.2025,Горковенко Юрий Александрович,21.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.08.2025,,1
2-465/2025 ~ М-340/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=567800&case_uid=2a83cf8e-64eb-4c1c-9323-f786fb710eac&delo_id=1540005,24.06.2025,Горковенко Юрий Александрович,28.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.08.2025,,1
2-455/2025 ~ М-330/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=560437&case_uid=feb3aaa7-c682-4bdc-9667-689dfea4505c&delo_id=1540005,19.06.2025,Горковенко Юрий Александрович,14.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.09.2025,,1
2-444/2025 ~ М-319/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=559165&case_uid=ef3d6b9c-2c7d-405b-a37e-077ad5ccc5e7&delo_id=1540005,21.05.2025,Алексеева Наталья Анатольевна,11.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",12.09.2025,,1
2-443/2025 ~ М-318/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=559160&case_uid=42dae42b-98bf-41f5-9347-c2839b469fe3&delo_id=1540005,21.05.2025,Алексеева Наталья Анатольевна,11.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.09.2025,,1
2-396/2025 ~ М-271/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=402339&case_uid=cbe7bc40-08a7-4241-8a71-442c160be69c&delo_id=1540005,21.05.2025,Абдуллина Мадина Зиннуровна,27.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.09.2025,,1
2-395/2025 ~ М-270/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=402321&case_uid=727e9bb1-a082-4255-a6b6-f45a7c12bcbd&delo_id=1540005,21.05.2025,Абдуллина Мадина Зиннуровна,27.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.09.2025,,1
2-387/2025 ~ М-262/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=420647&case_uid=eb9d96b5-ea05-478f-b13f-70e7d99c602d&delo_id=1540005,21.05.2025,Горковенко Юрий Александрович,30.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.09.2025,,1
2-428/2025 ~ М-303/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=557499&case_uid=259079b9-6a03-49e1-8c16-6420b00e96cd&delo_id=1540005,14.05.2025,Горковенко Юрий Александрович,07.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",09.09.2025,,1
2-453/2025 ~ М-328/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=560431&case_uid=6fe921d8-4b97-4060-90b6-c0b7398e9739&delo_id=1540005,13.05.2025,Абдуллина Мадина Зиннуровна,19.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.09.2025,,1
2-452/2025 ~ М-327/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=560425&case_uid=e2c0db78-6ddd-44e1-812d-20e5f9535575&delo_id=1540005,13.05.2025,Абдуллина Мадина Зиннуровна,19.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.09.2025,,1
2-446/2025 ~ М-321/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=559175&case_uid=6f0ee52f-ca3e-4a93-94fd-eaa24aa4fb99&delo_id=1540005,13.05.2025,Рудницкая Оксана Анатольевна,23.09.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",24.10.2025,,1
2-445/2025 ~ М-320/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=559170&case_uid=9777b78a-679c-4621-9aec-336f2bfdb222&delo_id=1540005,13.05.2025,Рудницкая Оксана Анатольевна,02.09.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",03.10.2025,,1
2-429/2025 ~ М-304/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=557504&case_uid=8549942d-2b2f-4801-93cf-eff2909de5c2&delo_id=1540005,13.05.2025,Горковенко Юрий Александрович,09.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",12.08.2025,,1
2-422/2025 ~ М-297/2025,https://novotroitskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=557439&case_uid=77ff6be6-82a9-47ac-af59-30e1a7fcd637&delo_id=1540005,13.05.2025,Алексеева Наталья Анатольевна,11.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.09.2025,,1
