case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-526/2026,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21178621&case_uid=f7342eca-f6e3-4eeb-8543-845c05eca0a7&delo_id=1540005,09.02.2026,Павленко Денис Константинович,02.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.04.2026,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=27512139&delo_id=1540005&new=0&text_number=1,1
2-2820/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=14726713&case_uid=c659ba5f-4ae0-46dd-b2b2-dd97db29c943&delo_id=1540005,16.10.2025,Сахапова Рената Рамилевна,05.11.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",27.11.2025,,1
2-2811/2025 ~ М-2537/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=14194294&case_uid=507baec8-4aa3-4dc5-bd75-561d61a4e82f&delo_id=1540005,10.10.2025,Сахапова Рената Рамилевна,09.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,1
2-2813/2025 ~ М-2536/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=14194290&case_uid=16a667f2-ff56-4285-8191-2840eebc5f79&delo_id=1540005,10.10.2025,Сахапова Рената Рамилевна,09.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,1
2-2804/2025 ~ М-2535/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=14194286&case_uid=dc4d2056-aca9-4c92-b758-3c6a2d33bf2d&delo_id=1540005,10.10.2025,Павленко Денис Константинович,13.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=28288541&delo_id=1540005&new=0&text_number=1,1
2-2809/2025 ~ М-2534/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=14194282&case_uid=4f9a826f-3864-4aa8-816b-907028a4b980&delo_id=1540005,10.10.2025,Митерев Эльдар Евгеньевич,20.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.12.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20843564&delo_id=1540005&new=0&text_number=1,1
2-2803/2025 ~ М-2533/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=14194272&case_uid=0fdb2e04-c666-477d-a4c1-e8fc43e9cc34&delo_id=1540005,10.10.2025,Павленко Денис Константинович,13.11.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",05.12.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=28582607&delo_id=1540005&new=0&text_number=1,1
2-2681/2025 ~ М-2389/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=12767545&case_uid=3d8c7e99-fcd4-4c5e-9671-76f74068852a&delo_id=1540005,22.09.2025,Сахапова Рената Рамилевна,14.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.12.2025,,1
2-2680/2025 ~ М-2388/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=12767521&case_uid=28fc4aad-f79c-48cd-985b-f981b6d7dd88&delo_id=1540005,22.09.2025,Сахапова Рената Рамилевна,14.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.12.2025,,1
2-2679/2025 ~ М-2387/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=12767516&case_uid=3325a1c7-9eb0-4c5e-81eb-5088c0753972&delo_id=1540005,22.09.2025,Сахапова Рената Рамилевна,14.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.12.2025,,1
2-2678/2025 ~ М-2386/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=12767511&case_uid=0ae75416-ce2c-417f-8eb3-73b0a500c8f5&delo_id=1540005,22.09.2025,Сахапова Рената Рамилевна,23.10.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",17.11.2025,,1
2-2683/2025 ~ М-2385/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=12767506&case_uid=a040da57-9ab7-44b3-89be-53f950c56785&delo_id=1540005,22.09.2025,Сахапова Рената Рамилевна,14.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.12.2025,,1
2-2684/2025 ~ М-2384/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=12767495&case_uid=06aaa1a6-4a65-4bb0-bca6-6f1ecc65a963&delo_id=1540005,22.09.2025,Сахапова Рената Рамилевна,14.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.12.2025,,1
2-2610/2025 ~ М-2340/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=12510370&case_uid=ac998412-79ae-4076-82aa-dcbb75eee6f8&delo_id=1540005,15.09.2025,Павленко Денис Константинович,27.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.12.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=28408133&delo_id=1540005&new=0&text_number=1,1
