case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
9-32/2026 ~ М-53/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541299&case_uid=e2e2c11d-4d7c-484e-80b5-25e41bb4dc4a&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-31/2026 ~ М-52/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541295&case_uid=55934f21-a499-41f0-adb9-28e4f9ecc34c&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-30/2026 ~ М-51/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541291&case_uid=7b44409e-60e0-40ec-840d-90d7be2900ca&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-29/2026 ~ М-50/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541287&case_uid=26a9297c-f879-48ab-8a08-1227f8358508&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-28/2026 ~ М-49/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541283&case_uid=5bb7ff7e-7580-44ab-a39a-7f479da7c295&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-4/2026 ~ М-48/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541279&case_uid=1ae5f907-8f61-446c-b640-7f72fb6a1609&delo_id=1540005,28.01.2026,Попова Инна Константиновна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-27/2026 ~ М-47/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541275&case_uid=2150c489-d414-414a-95ce-7160f36cea4c&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-26/2026 ~ М-46/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541271&case_uid=d35ca184-2e50-4d05-ba07-39ec612edbaa&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-25/2026 ~ М-45/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541267&case_uid=323dac15-31d1-4e59-973c-69b34a022da7&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-24/2026 ~ М-44/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541263&case_uid=675652ee-af8d-4294-9fc0-0400620de3e7&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-23/2026 ~ М-43/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541259&case_uid=a91e5496-f711-4962-ad7a-3e4d1999146e&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-22/2026 ~ М-42/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541255&case_uid=033ec58c-91e4-42ca-b4c5-98febaacd584&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-21/2026 ~ М-41/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541251&case_uid=e55a182e-5fc8-450e-8a46-cbb74ce9411f&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-5/2026 ~ М-40/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541247&case_uid=5e4c4b90-833e-45ed-9981-7e0eecc721e9&delo_id=1540005,28.01.2026,Попова Инна Константиновна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-20/2026 ~ М-39/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541243&case_uid=234d8d7e-cbb5-4939-b76f-099719c23641&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-19/2026 ~ М-38/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541239&case_uid=688007c3-aee9-4be0-ad4c-092e2331eed4&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-18/2026 ~ М-37/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541235&case_uid=fec47771-45aa-4b16-aef9-c4ff2cbb3e53&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-17/2026 ~ М-36/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541231&case_uid=ec6fc100-a54b-4015-a386-6c335e4c8463&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-16/2026 ~ М-35/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541227&case_uid=9279767e-6373-46a2-9ebf-b1ddb136db5f&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-15/2026 ~ М-34/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541223&case_uid=97cf935b-8aad-4319-b5ce-607002de37b1&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-6/2026 ~ М-33/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541219&case_uid=a3e9cb3b-353e-475f-8576-99a84c0977f5&delo_id=1540005,28.01.2026,Попова Инна Константиновна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-14/2026 ~ М-32/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541208&case_uid=78dfc3c3-d383-4eda-9cb7-a46856978f56&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-3/2026 ~ М-31/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541204&case_uid=a3aa9f58-342a-4505-864e-6c2827e5492c&delo_id=1540005,28.01.2026,Попова Инна Константиновна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-13/2026 ~ М-30/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541200&case_uid=0b627d63-cdad-4d01-bfcb-abc7cb089a27&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-12/2026 ~ М-29/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541196&case_uid=bc8b4e7c-dedf-443f-8ba3-184b04a0038b&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
9-11/2026 ~ М-28/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541192&case_uid=517358e5-990b-408a-8106-723641a77906&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,2
9-10/2026 ~ М-27/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541178&case_uid=6d89c04d-d1bc-4ddf-8a94-0864a61d6fef&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,2
9-9/2026 ~ М-26/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541174&case_uid=4d83553e-d52b-4909-976c-fd4e169d0573&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,2
9-8/2026 ~ М-25/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20541170&case_uid=c71c809c-528c-4a99-9122-9e38ebeb4a27&delo_id=1540005,28.01.2026,Шемигон Ирина Викторовна,02.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,2
2-193/2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19339151&case_uid=d34ff5e5-a66a-4300-954e-dd5415397e81&delo_id=1540005,15.01.2026,Попова Инна Константиновна,28.01.2026,Производство по делу ПРЕКРАЩЕНО,,,2
2-186/2026 (2-1208/2025;),https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=18644074&case_uid=7859ee52-bd38-4ecb-a3da-0e36575bca01&delo_id=1540005,30.12.2025,Попова Инна Константиновна,19.01.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,,2
2-187/2026 (2-1209/2025;) ~ М-1058/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=18643909&case_uid=ddc8574b-f72f-4c79-8f16-a6a4f14703ea&delo_id=1540005,30.12.2025,Шемигон Ирина Викторовна,26.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.04.2026,,2
2-180/2026 (2-1202/2025;) ~ М-1052/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=18429709&case_uid=4724368f-a524-45ea-8e05-25dbfac067bd&delo_id=1540005,25.12.2025,Шемигон Ирина Викторовна,24.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",07.04.2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=27261627&delo_id=1540005&new=0&text_number=1,2
2-162/2026 (2-1168/2025;) ~ М-1017/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=17543103&case_uid=5f130911-9c10-444f-bdf0-a7a5a5ded6e1&delo_id=1540005,12.12.2025,Шемигон Ирина Викторовна,05.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.03.2026,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=28038297&delo_id=1540005&new=0&text_number=1,2
2-161/2026 (2-1167/2025;) ~ М-1016/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=17543098&case_uid=ae2ffe8f-12c5-4858-9ef8-6203e46fd423&delo_id=1540005,12.12.2025,Шемигон Ирина Викторовна,10.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=28391213&delo_id=1540005&new=0&text_number=1,2
