case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-973/2026 ~ М-972/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30379568&case_uid=ac799e8a-6e70-41de-a231-9bf992a785c7&delo_id=1540005,22.06.2026,Бойко Виктория Олеговна,,,,,1
2-975/2026 ~ М-971/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30379563&case_uid=2a18f3d7-c705-424d-b57a-34a010007ec7&delo_id=1540005,22.06.2026,Бойко Виктория Олеговна,,,,,1
2-976/2026 ~ М-968/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30379554&case_uid=ad036068-0e20-48cf-add1-0609c7f0feb0&delo_id=1540005,22.06.2026,Бойко Виктория Олеговна,,,,,1
2-907/2026 ~ М-961/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30120435&case_uid=c9726b81-4404-4c5f-8e19-e62def5c0cf7&delo_id=1540005,17.06.2026,Резниченко Владимир Алексеевич,,,,,1
2-917/2026 ~ М-937/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29989123&case_uid=50b6de07-5581-45cc-a127-f427d5e515d3&delo_id=1540005,16.06.2026,Бойко Виктория Олеговна,,,,,1
2-900/2026 ~ М-936/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29989118&case_uid=73055a77-6bec-4484-8fe4-71f5555170a1&delo_id=1540005,16.06.2026,Резниченко Владимир Алексеевич,,,,,1
2-897/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29923696&case_uid=9663a4aa-da18-4e29-aa38-ef095eea0c22&delo_id=1540005,11.06.2026,Бойко Виктория Олеговна,,,,,1
2-771/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27555684&case_uid=0cacc3b6-e1ad-4a23-9dbb-f754831cb12d&delo_id=1540005,13.05.2026,Резниченко Владимир Алексеевич,,,,,1
2-367/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27170317&case_uid=2d9a7751-8840-423f-816f-621c1d4be2d8&delo_id=1540005,03.03.2026,Резниченко Владимир Алексеевич,27.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=28285729&delo_id=1540005&new=0&text_number=1,1
2-331/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27180701&case_uid=ea1e2033-0dd3-4d2b-84ca-84ff8c9a7658&delo_id=1540005,20.02.2026,Резниченко Владимир Алексеевич,24.02.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=23036067&delo_id=1540005&new=0&text_number=1,1
9-16/2026 ~ М-92/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27184618&case_uid=71f87523-2dc8-4df8-841c-7d136757dca1&delo_id=1540005,30.01.2026,Тлеужанова Ботагоз Елеусизовна,05.02.2026,Заявление ВОЗВРАЩЕНО заявителю,,,1
2-229/2026,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27180690&case_uid=3b59e9a6-2ed1-4789-ba1f-1eb8a0209111&delo_id=1540005,29.01.2026,Гревцова Виктория Алексеевна,09.02.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,,1
2-166/2026 (2-2103/2025;),https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27183950&case_uid=4e98878d-d72d-4729-a748-b2eaf78878a0&delo_id=1540005,30.12.2025,Тлеужанова Ботагоз Елеусизовна,05.02.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=25970697&delo_id=1540005&new=0&text_number=1,1
2-152/2026 (2-2089/2025;) ~ М-2116/2025,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27186816&case_uid=a6b9c276-e4de-4ab5-b0f3-7b755b2deb4e&delo_id=1540005,26.12.2025,Резниченко Владимир Алексеевич,26.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=23036029&delo_id=1540005&new=0&text_number=1,1
2-167/2026 (2-2104/2025;),https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27154183&case_uid=3506bb09-7f4f-4b1a-9c34-e98e31d75d52&delo_id=1540005,26.12.2025,Резниченко Владимир Алексеевич,17.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-2038/2025,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27186151&case_uid=fc10896a-aaf2-4ab8-a4a2-bf2df161ea8b&delo_id=1540005,22.12.2025,Нидзиева Наталья Николаевна,26.12.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=19912880&delo_id=1540005&new=0&text_number=1,1
2-1901/2025,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27183261&case_uid=afc5e972-6f5b-4080-8216-ac2f50e851a0&delo_id=1540005,19.11.2025,Бойко Виктория Олеговна,03.12.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,,1
2-1897/2025,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27182764&case_uid=0297ee0b-483f-4367-8d69-9e442c9f3ed9&delo_id=1540005,19.11.2025,Резниченко Владимир Алексеевич,03.12.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,https://mar-prim--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=23119892&delo_id=1540005&new=0&text_number=1,1
