case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-150/2026 ~ М-77/2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21272155&case_uid=f18b72a7-d5eb-4be4-959f-63191f3ef5ae&delo_id=1540005,11.02.2026,Бойко Николай Иванович,17.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",02.06.2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29675801&delo_id=1540005&new=0&text_number=1,1
2-157/2026 ~ М-76/2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21272151&case_uid=710c13d9-e4dd-4f07-9e2a-5d188cba8105&delo_id=1540005,11.02.2026,Бойко Николай Иванович,18.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",04.05.2026,,1
2-149/2026 ~ М-75/2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21272147&case_uid=68bc9365-ea90-453c-9b56-fadc934d8c7e&delo_id=1540005,11.02.2026,Бойко Николай Иванович,30.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2026,,1
2-148/2026 ~ М-74/2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21272143&case_uid=c9e4cc90-7c37-496a-9b04-376187182123&delo_id=1540005,11.02.2026,Бойко Николай Иванович,30.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29899581&delo_id=1540005&new=0&text_number=1,1
2-69/2026 (2-737/2025;) ~ М-645/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=17935888&case_uid=31334cf0-7b68-4b7a-8d83-0a501cc6a626&delo_id=1540005,19.12.2025,Бойко Николай Иванович,03.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.03.2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=24304790&delo_id=1540005&new=0&text_number=1,1
2-68/2026 (2-736/2025;) ~ М-644/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=17935877&case_uid=6cab489a-078e-4afc-82eb-cb6ce238b6da&delo_id=1540005,19.12.2025,Бойко Николай Иванович,02.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",12.03.2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=24304787&delo_id=1540005&new=0&text_number=1,1
2-52/2026 (2-718/2025;) ~ М-643/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=17935872&case_uid=0efceaa1-1adb-4308-a9d1-b09d8525606d&delo_id=1540005,19.12.2025,Осипенко Максим Юрьевич,13.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.03.2026,,1
2-67/2026 (2-735/2025;) ~ М-642/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=17935867&case_uid=afd8d610-19ef-44cd-84be-aa8ac83c2c0d&delo_id=1540005,19.12.2025,Бойко Николай Иванович,02.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",12.03.2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=24304794&delo_id=1540005&new=0&text_number=1,1
2-66/2026 (2-734/2025;) ~ М-641/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=17935856&case_uid=310f7bf4-0c94-493d-b1f1-7934012feef6&delo_id=1540005,19.12.2025,Бойко Николай Иванович,02.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",12.03.2026,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=24304786&delo_id=1540005&new=0&text_number=1,1
2-51/2026 (2-717/2025;) ~ М-640/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=17935851&case_uid=1284b827-e903-4208-b0f9-a29c790c9996&delo_id=1540005,19.12.2025,Осипенко Максим Юрьевич,13.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.03.2026,,1
