case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-3331/2026 ~ М-3047/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176666&case_uid=87cc85b7-a9b4-403e-9e5d-7c176fda9435&delo_id=1540005,18.06.2026,Проценко Сергей Витальевич,,,,,1
2-3326/2026 ~ М-3046/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176662&case_uid=b467671d-4ab7-4bd5-925b-8213a79f3f6e&delo_id=1540005,18.06.2026,Семенова Татьяна Викторовна,,,,,1
2-3296/2026 ~ М-3045/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176658&case_uid=b02676e0-8bf4-4d60-873b-a269f7db341f&delo_id=1540005,18.06.2026,Максимова Наталья Николаевна,,,,,1
2-3295/2026 ~ М-3044/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176654&case_uid=589d9783-dcf7-4da0-b876-3f3cc6b7c1f0&delo_id=1540005,18.06.2026,Максимова Наталья Николаевна,,,,,1
2-3312/2026 ~ М-3043/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176650&case_uid=f9afa738-8d94-4c54-a453-5196740d139d&delo_id=1540005,18.06.2026,Гималетдинов Вадим Маратович,,,,,1
2-3332/2026 ~ М-3041/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176642&case_uid=a26ef660-24df-4016-ab60-b1a908aa1c5f&delo_id=1540005,18.06.2026,Проценко Сергей Витальевич,,,,,1
2-3342/2026 ~ М-3040/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176638&case_uid=1d81a4f1-a8f1-4034-8f08-49cafb884f83&delo_id=1540005,18.06.2026,Кручик Маргарита Владимировна,,,,,1
2-3310/2026 ~ М-3039/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176634&case_uid=bebe96f4-691b-4631-877e-2fcfe673f654&delo_id=1540005,18.06.2026,Гималетдинов Вадим Маратович,,,,,1
2-3333/2026 ~ М-3038/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176630&case_uid=642b05ea-5ef6-4e46-9b47-d23437a358be&delo_id=1540005,18.06.2026,Проценко Сергей Витальевич,,,,,1
2-3324/2026 ~ М-3037/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30176626&case_uid=14e21af0-2ff6-452f-a2a6-f323f4a57dcb&delo_id=1540005,18.06.2026,Семенова Татьяна Викторовна,,,,,1
