case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-1063/2026 ~ М-1090/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29651866&case_uid=1173583c-8a8c-4cd0-a43f-0ff773d3f0b1&delo_id=1540005,10.06.2026,Мухаметшин Рафик Алимович,,,,,1
2-1095/2026 ~ М-1089/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29651828&case_uid=b372f0c6-c33f-4eaf-a1c1-c99db4bd2a71&delo_id=1540005,10.06.2026,Андреев Станислав Олегович,,,,,1
2-1062/2026 ~ М-1088/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29651808&case_uid=c749b277-9f1e-450c-b594-9ed0339e070e&delo_id=1540005,10.06.2026,Мухаметшин Рафик Алимович,,,,,1
2-1094/2026 ~ М-1087/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29651259&case_uid=235bfaaa-1dc4-43b0-9a50-e27912c68921&delo_id=1540005,10.06.2026,Андреев Станислав Олегович,,,,,1
2-1093/2026 ~ М-1086/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29651207&case_uid=b34ee24c-117a-4405-97e1-8b464b2bfe4c&delo_id=1540005,10.06.2026,Андреев Станислав Олегович,,,,,1
2-1091/2026 ~ М-1085/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29650867&case_uid=f978cc76-c2aa-4b80-ae7b-4cb120aa18b3&delo_id=1540005,10.06.2026,Андреев Станислав Олегович,,,,,1
2-1067/2026 ~ М-1084/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29647344&case_uid=ee77c57c-0c56-44fa-9425-f88b6386623c&delo_id=1540005,10.06.2026,Мухаметшин Рафик Алимович,,,,,1
2-1096/2026 ~ М-1083/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29647327&case_uid=971ebb2f-57dd-41af-ac6d-6d0734554326&delo_id=1540005,10.06.2026,Андреев Станислав Олегович,,,,,1
2-1065/2026 ~ М-1054/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29455996&case_uid=289f44ff-bd5a-45c2-b725-b87b293a4734&delo_id=1540005,08.06.2026,Мухаметшин Рафик Алимович,,,,,1
2-1034/2026 ~ М-1053/2026,https://vln--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29455958&case_uid=3c15eabb-f60f-4e0a-a76e-5370be4757cd&delo_id=1540005,08.06.2026,Андреев Станислав Олегович,,,,,1
