case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-581/2026 ~ М-551/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29238027&case_uid=6587c71b-d8f1-4747-a4ba-9b5567513bc1&delo_id=1540005,04.06.2026,Мурашко Екатерина Валериевна,,,,,1
9-13/2026 ~ М-126/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21584707&case_uid=69d6d3ee-9e62-4365-b353-6f40504cf485&delo_id=1540005,16.02.2026,Шурда Елена Игоревна,17.02.2026,Заявление ВОЗВРАЩЕНО заявителю,11.03.2026,,1
9-12/2026 ~ М-125/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21584701&case_uid=3a993eca-fc79-4ceb-8d87-551f6642725e&delo_id=1540005,16.02.2026,Шурда Елена Игоревна,17.02.2026,Заявление ВОЗВРАЩЕНО заявителю,11.03.2026,,1
9-11/2026 ~ М-124/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21584695&case_uid=bfe3e8c8-ec91-4e5d-b927-ddf9548a8216&delo_id=1540005,16.02.2026,Шурда Елена Игоревна,17.02.2026,Заявление ВОЗВРАЩЕНО заявителю,11.03.2026,,1
9-10/2026 ~ М-123/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21584689&case_uid=77cca517-7f93-4214-84d8-5a81cb23738b&delo_id=1540005,16.02.2026,Шурда Елена Игоревна,17.02.2026,Заявление ВОЗВРАЩЕНО заявителю,11.03.2026,,1
9-9/2026 ~ М-122/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21550859&case_uid=cac0becf-7611-45cc-b74d-6f02d5c212e9&delo_id=1540005,16.02.2026,Шурда Елена Игоревна,17.02.2026,Заявление ВОЗВРАЩЕНО заявителю,11.03.2026,,1
9-8/2026 ~ М-121/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21550854&case_uid=0ff08455-d9e9-4674-8277-8e11b6920d7f&delo_id=1540005,16.02.2026,Шурда Елена Игоревна,17.02.2026,Заявление ВОЗВРАЩЕНО заявителю,11.03.2026,,1
2-115/2026 ~ М-41/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20114353&case_uid=5851dad9-0b5b-4f2b-989c-fff3f806b04c&delo_id=1540005,21.01.2026,Мурашко Екатерина Валериевна,11.03.2026,Производство по делу ПРЕКРАЩЕНО,02.04.2026,,1
2-104/2026 ~ М-40/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20114348&case_uid=09c3fd7a-5539-42e2-a527-cac5f7737ef9&delo_id=1540005,21.01.2026,Шурда Елена Игоревна,25.02.2026,Производство по делу ПРЕКРАЩЕНО,20.03.2026,,1
2-103/2026 ~ М-39/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20114343&case_uid=14c04121-ca66-40c9-a0b7-0e4e5799adc7&delo_id=1540005,21.01.2026,Шурда Елена Игоревна,25.02.2026,Производство по делу ПРЕКРАЩЕНО,20.03.2026,,1
2-100/2026 ~ М-34/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20088889&case_uid=768bb6ce-bbae-4290-87eb-2357f1c8568b&delo_id=1540005,21.01.2026,Шурда Елена Игоревна,25.02.2026,Производство по делу ПРЕКРАЩЕНО,20.03.2026,,1
2-99/2026 ~ М-33/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20088878&case_uid=dc3fe49e-adf2-4353-aa0e-b99ec3d77f9c&delo_id=1540005,21.01.2026,Шурда Елена Игоревна,25.02.2026,Производство по делу ПРЕКРАЩЕНО,20.03.2026,,1
2-113/2026 ~ М-32/2026,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20088872&case_uid=2e911fa1-bd28-4cde-a795-92a52e412db1&delo_id=1540005,21.01.2026,Мурашко Екатерина Валериевна,11.03.2026,Производство по делу ПРЕКРАЩЕНО,02.04.2026,,1
2-612/2025 ~ М-579/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15036461&case_uid=cba84512-9b33-45fa-820f-36823d6744b0&delo_id=1540005,23.10.2025,Мурашко Екатерина Валериевна,03.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,1
2-611/2025 ~ М-578/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15036455&case_uid=fe665e6d-ef7b-4f82-b611-699d562774c0&delo_id=1540005,23.10.2025,Мурашко Екатерина Валериевна,22.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.03.2026,,1
2-609/2025 ~ М-577/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15036449&case_uid=49ae27d6-13bb-462e-8dfc-776e96e07e37&delo_id=1540005,23.10.2025,Шурда Елена Игоревна,09.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,1
2-616/2025 ~ М-576/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15036443&case_uid=629fad23-3233-40c6-9347-71a4dc83839a&delo_id=1540005,23.10.2025,Шурда Елена Игоревна,24.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.12.2025,,1
2-608/2025 ~ М-575/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15036438&case_uid=9a63d9eb-fd52-477a-9dfc-210173b5d386&delo_id=1540005,23.10.2025,Шурда Елена Игоревна,09.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,1
2-560/2025 ~ М-525/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=13274799&case_uid=04cce8f8-407e-47e1-a2cc-3de6f3318b54&delo_id=1540005,26.09.2025,Шурда Елена Игоревна,27.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.11.2025,,1
2-562/2025 ~ М-524/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=13274793&case_uid=2bac8dd8-b168-4e6f-b9d2-02e60d012409&delo_id=1540005,26.09.2025,Шурда Елена Игоревна,24.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.12.2025,,1
2-561/2025 ~ М-523/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=13274787&case_uid=e2772f1f-4c8b-4c17-a664-ebed4e422fca&delo_id=1540005,26.09.2025,Шурда Елена Игоревна,27.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.11.2025,,1
2-559/2025 ~ М-522/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=13274781&case_uid=44fc9880-f852-4f7b-b57f-96434beebed1&delo_id=1540005,26.09.2025,Мурашко Екатерина Валериевна,10.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.12.2025,,1
2-451/2025 ~ М-413/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11451178&case_uid=643e72b5-995e-4d87-a345-7f089c4f9e8f&delo_id=1540005,22.08.2025,Мурашко Екатерина Валериевна,03.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.11.2025,,1
2-450/2025 ~ М-412/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11451174&case_uid=745c01f1-5062-4c59-bad2-67315fa3f924&delo_id=1540005,22.08.2025,Мурашко Екатерина Валериевна,20.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,1
2-449/2025 ~ М-411/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11451169&case_uid=5383bb9c-863e-4ba7-b568-00ce86351fb1&delo_id=1540005,22.08.2025,Мурашко Екатерина Валериевна,03.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.11.2025,,1
2-448/2025 ~ М-410/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11451165&case_uid=1cc592cd-3000-4ae0-b1d4-095c1bd118ff&delo_id=1540005,22.08.2025,Мурашко Екатерина Валериевна,20.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,2
2-447/2025 ~ М-409/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11451160&case_uid=ded098f3-fafd-44f5-878c-072771fb439a&delo_id=1540005,22.08.2025,Мурашко Екатерина Валериевна,11.11.2025,Производство по делу ПРЕКРАЩЕНО,03.12.2025,,2
2-371/2025 ~ М-336/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=10049974&case_uid=497c4c49-5e6d-40b1-83bc-2e238050d7cb&delo_id=1540005,17.07.2025,Шурда Елена Игоревна,15.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.09.2025,,2
2-373/2025 ~ М-335/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=10049953&case_uid=c4c4dad7-c4ba-413a-b49f-7c1890aaf816&delo_id=1540005,17.07.2025,Шурда Елена Игоревна,15.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.09.2025,,2
2-374/2025 ~ М-334/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=10049892&case_uid=04084010-f950-49a9-8cdb-9d42ac7532c0&delo_id=1540005,17.07.2025,Шурда Елена Игоревна,15.09.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.10.2025,,2
2-372/2025 ~ М-333/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=10049887&case_uid=74986622-a06c-474a-9add-93b3e39943c3&delo_id=1540005,17.07.2025,Шурда Елена Игоревна,15.09.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.10.2025,,2
2-353/2025 ~ М-316/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=9831259&case_uid=b6d2d42b-f7e3-4fba-9066-e902e873450d&delo_id=1540005,10.07.2025,Шурда Елена Игоревна,19.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.08.2025,,2
2-336/2025 ~ М-298/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=9503749&case_uid=c2d4693f-df5f-4a49-8b74-fbfbcae5d954&delo_id=1540005,02.07.2025,Мурашко Екатерина Валериевна,18.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.09.2025,,2
2-335/2025 ~ М-297/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=9503743&case_uid=92f8c506-3964-4378-af10-26ae52026b39&delo_id=1540005,02.07.2025,Мурашко Екатерина Валериевна,18.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.09.2025,,2
2-282/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=8385136&case_uid=22a8b867-c2a6-4f53-aa32-1e06f399e9bb&delo_id=1540005,06.06.2025,Шурда Елена Игоревна,07.07.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",29.07.2025,,2
