case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
М-6410/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=31132041&case_uid=d4ebe909-31c2-451b-ac20-ce0c9e2ba70c&delo_id=1540005,30.06.2026,Кузьмичева Елена Анатольевна,,,,,1
2-5916/2026 ~ М-6409/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=31132010&case_uid=7ec61c19-2675-437d-ba27-8aaa5c02b952&delo_id=1540005,30.06.2026,Зайнуллин Фаниль Юлаевич,,,,,1
М-6204/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30684268&case_uid=eb1e2bd3-4d80-4f3a-b811-506a4d8561a6&delo_id=1540005,25.06.2026,Емелина Елена Сергеевна,,,,,1
2-5757/2026 ~ М-6202/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30684089&case_uid=8e580e44-b7c4-4d00-ae10-936f3d698e1a&delo_id=1540005,25.06.2026,Зайнуллин Фаниль Юлаевич,,,,,1
2-5709/2026 ~ М-5854/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30193331&case_uid=83024295-77ba-4715-9ca8-26114e2983f1&delo_id=1540005,18.06.2026,Кирсанова Светлана Анатольевна,,,,,1
2-5844/2026 ~ М-5852/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30191371&case_uid=ba5d057f-1c09-471b-a5e1-0c8623e2a887&delo_id=1540005,18.06.2026,Емелина Елена Сергеевна,,,,,1
2-5707/2026 ~ М-5850/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30191236&case_uid=f57cdb98-2392-4201-845b-f367a5b9a661&delo_id=1540005,18.06.2026,Кирсанова Светлана Анатольевна,,,,,1
2-5526/2026 ~ М-5802/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30095115&case_uid=41304fb5-776b-4b16-889f-cade877c5fbf&delo_id=1540005,17.06.2026,Зайнуллин Фаниль Юлаевич,,,,,1
2-5458/2026 ~ М-5688/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29863102&case_uid=60a7c54d-fa81-4651-8c47-def823bdae9c&delo_id=1540005,15.06.2026,Сиренко Екатерина Ивановна,,,,,1
2-5466/2026 ~ М-5648/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29862889&case_uid=c4363043-3e17-4316-a491-58a0138e6785&delo_id=1540005,15.06.2026,Самойлик Адиля Равильевна,,,,,1
2-5307/2026 ~ М-5479/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29558938&case_uid=5fb73827-d8e0-480f-86ea-8e4a0377ca07&delo_id=1540005,09.06.2026,Сиренко Екатерина Ивановна,,,,,1
2-5229/2026 ~ М-5350/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29377195&case_uid=4932e6c7-755a-4356-90b9-9b0a0693deb5&delo_id=1540005,05.06.2026,Козлова Анна Александровна,29.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-5233/2026 ~ М-5348/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29377187&case_uid=54b70ef3-ce54-452f-a71e-e6f2687c8c88&delo_id=1540005,05.06.2026,Козлова Анна Александровна,29.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-5203/2026 ~ М-5314/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29266720&case_uid=edd69753-b916-48c1-8e82-35492211319d&delo_id=1540005,04.06.2026,Кирсанова Светлана Анатольевна,,,,,1
2-5127/2026 ~ М-5248/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29232744&case_uid=5b777d82-5709-420a-b5d1-fdeea310752d&delo_id=1540005,04.06.2026,Джульджуев Зурган Сергеевич,,,,,1
2-5108/2026 ~ М-5234/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29180795&case_uid=6dc9b82d-b26c-46c0-a553-76f423447d12&delo_id=1540005,03.06.2026,Козлова Анна Александровна,,,,,1
2-4890/2026 ~ М-4973/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28514505&case_uid=0fc27407-921f-46b9-8116-b8586934225b&delo_id=1540005,27.05.2026,Кирсанова Светлана Анатольевна,,,,,1
2-4764/2026 ~ М-4860/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28363071&case_uid=4093b7cb-9f86-40ea-9d6c-81324d643218&delo_id=1540005,25.05.2026,Кирсанова Светлана Анатольевна,,,,,1
2-4763/2026 ~ М-4854/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28363515&case_uid=35a4ea07-ca1d-4822-9886-173fda416ff5&delo_id=1540005,25.05.2026,Кирсанова Светлана Анатольевна,,,,,1
2-4932/2026 ~ М-4775/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28235448&case_uid=bf65b402-f632-4049-beca-f904c9ed77a6&delo_id=1540005,22.05.2026,Емелина Елена Сергеевна,,,,,1
2-4628/2026 ~ М-4774/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=28235444&case_uid=6375ab30-73a7-48b1-8e7d-92756a486e53&delo_id=1540005,22.05.2026,Сиренко Екатерина Ивановна,,,,,1
2-4724/2026 ~ М-4216/2026,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=27472777&case_uid=add6be70-1333-438b-97d8-262fb034cb3b&delo_id=1540005,12.05.2026,Зайнуллин Фаниль Юлаевич,,,,,1
