case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-1132/2026 ~ М-1147/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29372231&case_uid=f69f8613-3155-4a12-9158-4c2351d91d51&delo_id=1540005,05.06.2026,Скичко Елена Викторовна,,,,,1
2-561/2026 ~ М-433/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169333&case_uid=c4e4f632-7a3a-4b26-9538-04519d52f5ab&delo_id=1540005,16.03.2026,Андреева Светлана Анатольевна,22.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.06.2026,,1
2-567/2026 ~ М-432/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169328&case_uid=5761dd48-dbf2-4573-a606-09061ab5d5e1&delo_id=1540005,16.03.2026,Скичко Елена Викторовна,08.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-563/2026 ~ М-431/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169324&case_uid=4ccf989f-9f06-40a6-bd3c-6aca99dc7d63&delo_id=1540005,16.03.2026,Андреева Светлана Анатольевна,22.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.06.2026,,1
2-568/2026 ~ М-430/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169298&case_uid=427bc370-1ff7-406f-9ae9-7940a2a6a346&delo_id=1540005,16.03.2026,Скичко Елена Викторовна,08.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-569/2026 ~ М-429/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169293&case_uid=7d401832-1968-42af-8b3c-fd757e960ca1&delo_id=1540005,16.03.2026,Скичко Елена Викторовна,08.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,1
2-576/2026 ~ М-428/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169288&case_uid=c67cf211-263d-4c4e-9ffb-9ea32705d420&delo_id=1540005,16.03.2026,Федько Светлана Павловна,08.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.07.2026,,1
2-562/2026 ~ М-427/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169283&case_uid=869e6e44-5b8b-417e-8358-c5823f4e1264&delo_id=1540005,16.03.2026,Андреева Светлана Анатольевна,22.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.06.2026,,1
2-575/2026 ~ М-426/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169278&case_uid=e8b20477-1075-45fb-a72d-926bd66dd216&delo_id=1540005,16.03.2026,Федько Светлана Павловна,04.06.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.07.2026,,1
2-559/2026 ~ М-425/2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23169250&case_uid=17967eb3-6060-4196-b14e-162b8e8f9fe8&delo_id=1540005,16.03.2026,Андреева Светлана Анатольевна,20.05.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.06.2026,,1
