case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-3298/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30979255&case_uid=21b2f6af-3e91-4553-bb41-06b0d2ecf470&delo_id=1540005,26.06.2026,Мяконькая Татьяна Александровна,,,,,1
2-3136/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30161317&case_uid=aba5cd44-ea40-4807-8f01-e71acb341dd7&delo_id=1540005,18.06.2026,Белоусов Павел Валериевич,,,,,1
2-3135/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30161312&case_uid=a9ea39cd-65bf-4615-84bf-d3ff4caa9ae8&delo_id=1540005,18.06.2026,Мяконькая Татьяна Александровна,,,,,1
2-3134/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30161555&case_uid=1d6da7e0-25dd-4f79-b449-d674248ef208&delo_id=1540005,18.06.2026,Сазонова Юлия Юрьевна,,,,,1
2-3133/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30159937&case_uid=bc5b299c-d08f-4aa6-a98d-8cb7bd3d5e6c&delo_id=1540005,18.06.2026,Леонов Александр Юрьевич,,,,,1
2-2935/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=29268473&case_uid=0527015e-2092-4515-9a62-ac3a54af9cfb&delo_id=1540005,04.06.2026,Леонов Александр Юрьевич,,,,,1
9-163/2026 ~ М-1210/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=23221693&case_uid=8261d6e2-323e-48d0-954b-a23997cf2404&delo_id=1540005,16.03.2026,Кенжегарина Даметкен Максутовна,20.03.2026,ОТКАЗАНО в принятии заявления,,,1
2-1519/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22905332&case_uid=a197e746-eae3-459a-8122-be887f8c9947&delo_id=1540005,11.03.2026,Струнов Никита Иванович,22.05.2026,Производство по делу ПРЕКРАЩЕНО,,,1
2-1586/2026 ~ М-997/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22552926&case_uid=a21ac70a-1ec2-4cc2-bfb8-0a47f11c3665&delo_id=1540005,04.03.2026,Кенжегарина Даметкен Максутовна,27.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.06.2026,,1
2-1196/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=21774502&case_uid=3f28244f-0d8d-4156-9417-52ba701246ee&delo_id=1540005,18.02.2026,Гузаирова Эльвира Ильдаровна,15.04.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",08.05.2026,,1
2-807/2026,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=20553277&case_uid=f801ad7f-cfb7-459e-93f8-ae373cd79ad3&delo_id=1540005,28.01.2026,Мяконькая Татьяна Александровна,17.02.2026,"ОТКАЗАНО в удовлетворении иска (заявлении, жалобы)",,,1
